name,age_rec,game_release_date,players,BGG_rating,BGG_age_rec,BGG_rating_num,BGG_optimum_players,BGG_average_playing_time,BGG_complexity,BGG_description,themes,mechanisms,gorely_opinion
Res Arcana,12,2019,"(2, 4)",7.7,10.0,21000.0,2.0,45.0,2.63,"Rival mages create artifacts, vying for places of power and ancient monuments.","['Alchemy', 'Witches']","['Hand Management', 'Income', 'Open Drafting', 'Race', 'Score-and-Reset Game']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
The Castles of Burgundy,12,2019,"(1, 4)",8.5,12.0,9000.0,2.0,95.0,2.94,Build your princedom into a bustling metropolis of commerce.,[],"['Dice Rolling', 'End Game Bonuses', 'Grid Coverage', 'Hexagon Grid', 'Pattern Building']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Red Cathedral,10,2020,"(1, 4)",7.7,12.0,11000.0,3.0,80.0,2.82,Lead a construction team to build Saint Basil's Cathedral under the Tsar's reign.,[],"['Area Majority / Influence', 'Contracts', 'Dice Rolling', 'End Game Bonuses', 'Rondel']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Grand Austria Hotel,12,2015,"(2, 4)",7.9,12.0,19000.0,2.0,90.0,3.22,Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.,[],"['Action Drafting', 'Contracts', 'Dice Rolling', 'End Game Bonuses', 'Hand Management']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Stroganov,12,2021,"(1, 4)",7.3,12.0,1000.0,3.0,90.0,3.27,Explore the vast expanse of Siberia to gain wealth and fame.,[],"['Action Points', 'Area Movement', 'Map Addition', 'Point to Point Movement', 'Set Collection']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Quacks of Quedlingburg,10,2018,"(2, 4)",7.8,8.0,45000.0,4.0,45.0,1.95,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!",[],"['Catch the Leader', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Dice Rolling', 'Events']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Wingspan,10,2019,"(1, 5)",8.1,10.0,85000.0,3.0,55.0,2.46,Attract a beautiful and diverse collection of birds to your wildlife preserve.,[],"['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Hand Management', 'Once-Per-Game Abilities']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Orleans,12,2014,"(2, 4)",8.1,12.0,30000.0,4.0,90.0,3.03,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?",[],"['Contracts', 'Deck, Bag, and Pool Building', 'End Game Bonuses', 'Events', 'Point to Point Movement']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Ark Nova,14,2021,"(1, 4)",8.5,12.0,37000.0,2.0,120.0,3.73,"Plan and build a modern, scientifically managed zoo to support conservation projects.",['Ecology'],"['End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Terraforming Mars,12,2016,"(1, 5)",8.4,12.0,94000.0,3.0,120.0,3.26,Compete with rival CEOs to make Mars habitable and build your corporate empire.,[],"['Closed Drafting', 'Contracts', 'Enclosure', 'End Game Bonuses', 'Hand Management']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Hansa Teutonica,12,2009,"(2, 5)",7.7,12.0,15000.0,5.0,68.0,3.1,Build networks of merchants along the roads and market towns of the Hanseatic League.,[],"['Action Points', 'Area Majority / Influence', 'End Game Bonuses', 'Network and Route Building', 'Ownership', 'Tech Trees / Tech Tracks', '']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Seeland,9,2010,"(2, 4)",6.9,8.0,2000.0,2.0,52.0,2.3,Cleverly place crops & windmills to become the wealthiest burgher in the Netherlands.,[],"['Hexagon Grid', 'Rondel', 'Tile Placement', '']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Fantasy Realms,14,2017,"(2, 6)",7.5,10.0,14000.0,2.0,20.0,1.8,Build the greatest fantasy kingdom by constructing the best hand.,[],"['End Game Bonuses', 'Hand Management', 'Open Drafting', 'Set Collection', '']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Deep Sea Diver,0,0,"(0, 0)",,,,,,,,,,"{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Next Station Tokyo,8,2023,"(1, 4)",7.1,8.0,722000.0,2.0,28.0,1.64,Draw tube lines to connect Tokyo.,[],"['Connections', 'Line Drawing', 'Network and Route Building', 'Paper-and-Pencil', '']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
The Mind,8,2018,"(2, 4)",6.8,8.0,29000.0,4.0,20.0,1.07,Play your cards in ascending order without communicating. Timing is key!,[],"['Communication Limits', 'Cooperative Game', '']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Ticket to Ride: The Card Game,8,2008,"(2, 4)",6.1,8.0,4000.0,3.0,30.0,1.88,Put away the board and fire up your memory in this card version of Ticket to Ride.,[],"['Hand Management', 'Memory', 'Set Collection', '']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
Coup,13,2012,"(2, 6)",7.0,10.0,45000.0,5.0,15.0,1.41,Bluff (and call bluffs!) to victory in this card game with no third chances.,[],"['Hidden Roles', 'Memory', 'Player Elimination', 'Take That', 'Variable Player Powers', '']","{'real_ratings': [], 'playing_times': [], 'complexity': [], 'age_rec': []}"
